Gene	SNP	Disease	Genome_Region	Pvalue	Log_Pvalue	Allele_Frequency
KLK3	rs2735839	Prostate cancer	upstream_gene_variant	2.00E-18	17.70	0.85
FTO	rs9930506	Obesity-related traits	intron_variant	9.00E-07	6.05	0.54
FTO	rs9930506	Obesity-related traits	intron_variant	3.00E-08	7.52	0.54
FTO	rs9930506	Obesity-related traits	intron_variant	9.00E-07	6.05	0.54
FTO	rs9939609	Type 2 diabetes	intron_variant	2.00E-07	6.70	0.4
FTO	rs9939609	Body mass index	intron_variant	2.00E-20	19.70	0.39
APOE	rs769449	C-reactive protein	non_coding_transcript_exon_variant	9.00E-21	20.05	NR
FTO	rs8050136	Type 2 diabetes	intron_variant	7.00E-06	5.15	NR
ESR1	rs1999805	Bone mineral density (spine)	intron_variant	2.00E-08	7.70	0.44
FTO	rs1121980	Body mass index	intron_variant	4.00E-08	7.40	NR
FTO	rs1121980	Obesity (early onset extreme)	intron_variant	1.00E-07	7.00	0.41
FTO	rs9939609	Body mass index	intron_variant	4.00E-51	50.40	0.41
FTO	rs8050136	Type 2 diabetes	intron_variant	2.00E-17	16.70	NR
FTO	rs9939609	Biomedical quantitative traits	intron_variant	2.00E-07	6.70	0.13
FTO	rs8050136	Type 2 diabetes	intron_variant	7.00E-14	13.15	0.4
FTO	rs8050136	Type 2 diabetes	intron_variant	1.00E-12	12.00	0.38
FTO	rs9941349	Obesity (extreme)	intron_variant	6.00E-12	11.22	0.43
FTO	rs1558902	Waist circumference	intron_variant	5.00E-19	18.30	NR
ESR1	rs6902771	Alcohol dependence	intron_variant	8.00E-06	5.10	0.51
ESR1	rs2504063	Bone mineral density (spine)	intron_variant	6.00E-11	10.22	0.4
APOE	rs7412	LDL cholesterol	missense_variant	2.00E-09	8.70	0.1
FTO	rs7202116	Body mass index	intron_variant	2.00E-10	9.70	0.402
FTO	rs11642841	Type 2 diabetes	intron_variant	3.00E-08	7.52	
FTO	rs1558902	Body mass index	intron_variant	5.00E-120	119.30	0.42
FTO	rs8050136	Body mass in chronic obstructive pulmonary disease	intron_variant	4.00E-08	7.40	0.39
FTO	rs9939609	Menarche (age at onset)	intron_variant	3.00E-08	7.52	0.4
APOE	rs429358	Alzheimer's disease biomarkers	missense_variant	1.00E-06	6.00	NR
KLK3	rs17632542	Serum prostate-specific antigen levels	missense_variant	3.00E-46	45.52	0.91
FTO	rs1558902	Obesity	intron_variant	1.00E-07	7.00	NR
FTO	rs17817449	Obesity	intron_variant	2.00E-12	11.70	NR
ESR1	rs2982694	Sudden cardiac arrest	intron_variant	7.00E-10	9.15	0.14
FTO	rs8050136	Adiposity	intron_variant	3.00E-26	25.52	0.6
APOE	rs7412	Lipid metabolism phenotypes	missense_variant	3.00E-58	57.52	NR
FTO	rs12149832	Body mass index	intron_variant	5.00E-22	21.30	0.2
ESR1	rs9383951	Breast cancer	intron_variant	2.00E-06	5.70	0.9
APOE	rs7412	Response to statin therapy (LDL-C)	missense_variant	2.00E-47	46.70	NR
FTO	rs9940128	Metabolic syndrome	intron_variant	2.00E-09	8.70	0.42
APOE	rs429358	Brain imaging	missense_variant	2.00E-09	8.70	NR
FTO	rs1558902	Obesity (early onset extreme)	intron_variant	5.00E-19	18.30	NR
FTO	rs12596210	Sex hormone-binding globulin levels	non_coding_transcript_exon_variant	9.00E-06	5.05	0.12
FTO	rs8044769	Osteoarthritis	intron_variant	4.00E-06	5.40	0.5
FTO	rs9939609	Type 2 diabetes	intron_variant	1.00E-20	20.00	0.4
FTO	rs9922619	Subcutaneous adipose tissue	intron_variant	6.00E-08	7.22	0.44
FTO	rs1421084	Subcutaneous adipose tissue	intron_variant	3.00E-06	5.52	0.97
ESR1	rs543650	Height	intron_variant	1.00E-17	17.00	0.4
APOE	rs429358	Alzheimer's disease biomarkers	missense_variant	5.00E-14	13.30	0.28
FTO	rs16953002	Melanoma	intron_variant	4.00E-12	11.40	0.17
